Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Joan Garcia,20,1800,0,0,72,32,1,1,100%,0,0,0%,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,68%,0,4,0,0,0,0,13
Joan Jordan,12,642,2,2,0,0,9,3,33%,48,8,17%,0,10,8,10,5,10,0,0,1,0,0,0,1,1,0,0,0,0,3,10,77%,24,26,0,3,0,0,8
Jofre Carreras,19,1233,2,3,0,0,29,7,24%,23,7,30%,0,14,35,16,9,8,0,0,5,0,0,0,0,0,0,0,0,0,17,14,74%,0,0,0,0,0,0,12
Johan Mojica,19,1481,1,1,0,0,7,2,29%,72,25,35%,0,8,11,12,20,14,0,0,4,0,2,0,0,0,0,0,2,1,16,22,79%,0,6,1,2,1,0,35
John Patrick Finn,4,47,0,0,0,0,2,0,0%,0,0,0%,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,80%,0,0,0,0,0,0,1
Johnny Cardoso,13,925,0,1,0,0,6,0,0%,2,0,0%,0,0,16,16,24,15,0,0,3,0,0,0,0,0,0,0,6,0,7,4,85%,0,0,0,0,0,0,33
Jon Ander Olasagasti,9,215,0,0,0,0,4,0,0%,6,1,17%,0,0,1,5,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2,81%,1,0,0,0,0,0,2
Jon Aramburu,17,1287,0,0,0,0,5,2,40%,26,7,27%,0,5,14,24,18,38,0,0,5,0,1,0,0,0,0,0,4,0,5,10,81%,0,3,0,0,0,0,47
Jon Guridi,18,1196,2,0,0,0,12,6,50%,11,4,36%,0,2,10,19,9,11,0,0,4,0,1,0,1,1,0,0,0,0,2,12,80%,4,1,0,0,0,0,5
Jon Magunazelaia,2,7,0,0,0,0,0,0,0%,0,0,0%,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54%,0,0,0,0,0,0,0
Jon Martin,3,135,0,0,0,0,3,0,0%,0,0,0%,0,1,0,7,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,79%,0,0,0,0,0,0,6
Jon Moncayola,18,1168,0,0,0,0,14,4,29%,66,21,32%,0,4,6,21,9,19,0,0,6,0,0,0,0,0,0,0,1,0,3,20,78%,21,15,2,0,0,0,13
Jon Pacheco,10,539,0,0,0,0,1,0,0%,0,0,0%,0,1,3,15,6,6,0,0,3,0,0,0,0,0,0,0,6,0,0,0,85%,0,1,0,0,0,0,25
Jonathan Bamba,12,811,0,1,0,0,13,6,46%,25,8,32%,0,5,17,7,5,7,0,0,1,0,0,0,0,0,0,0,0,0,15,12,83%,0,0,0,0,0,0,5
Jorge de Frutos,20,1384,4,2,0,0,27,9,33%,42,11,26%,0,17,15,23,11,11,0,0,1,0,0,0,0,0,0,0,0,0,19,20,74%,0,0,0,0,0,0,9
Jorge Herrando,8,555,0,0,0,0,2,1,50%,0,0,0%,0,0,1,4,1,3,1,0,2,0,0,0,0,0,0,0,6,0,0,0,80%,0,1,0,0,0,0,26
Jorge Saenz,11,715,1,0,0,0,1,1,100%,0,0,0%,0,0,6,15,13,13,0,0,2,1,1,0,0,0,0,0,6,0,0,2,83%,0,1,0,0,0,0,63
Jose Angel Carmona,19,1660,0,0,0,0,12,3,25%,18,4,22%,0,4,27,23,42,32,0,0,4,0,0,0,0,0,0,0,6,0,10,8,83%,0,1,0,0,0,0,46
Jose Arnaiz,6,45,0,0,0,0,1,0,0%,4,1,25%,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65%,0,0,0,1,0,0,1
Jose Campana,13,719,0,2,0,0,3,1,33%,16,5,31%,0,2,17,4,15,11,0,0,3,0,1,0,0,0,0,0,0,0,6,8,89%,10,5,0,2,1,0,12
