Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Abde Ezzalzouli,20,1422,1,1,0,0,46,16,35%,36,3,8%,2,19,29,16,5,19,0,0,1,0,0,1,1,0,0,0,3,0,40,20,74%,0,1,0,1,1,0,4
Abde Rebbach,8,386,0,0,0,0,6,1,17%,17,3,18%,1,5,6,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,6,70%,5,0,0,0,0,0,6
Abdel Abqar,19,1578,0,1,0,0,5,1,20%,4,1,25%,0,1,15,34,28,15,1,0,9,0,1,1,0,0,0,0,12,0,1,5,75%,0,9,0,0,0,0,87
Abdon Prats,14,216,2,0,0,0,11,5,45%,0,0,0%,0,2,8,4,1,1,0,0,4,0,0,0,1,1,0,0,1,0,0,0,70%,0,0,0,0,0,0,4
Abdoulaye Keita,2,82,0,0,0,0,2,0,0%,0,0,0%,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61%,0,0,0,0,0,0,2
Abdul Mumin,18,1533,2,1,0,0,7,2,29%,2,0,0%,0,2,9,17,20,15,0,0,6,1,0,0,0,0,0,0,22,0,3,1,81%,0,5,0,0,0,0,107
Abdulai Juma Bah,12,865,0,0,0,0,3,1,33%,0,0,0%,0,1,6,6,12,7,0,0,1,0,0,0,0,0,0,0,8,0,3,1,81%,0,0,0,0,0,0,59
Abel Bretones,19,1190,2,0,0,0,8,3,38%,51,7,14%,0,6,15,12,12,20,0,0,2,0,0,0,0,0,0,0,2,0,10,6,72%,0,3,0,0,0,0,30
Abel Ruiz,15,972,3,0,0,0,19,7,37%,2,0,0%,1,6,10,6,1,1,0,0,3,0,0,0,1,1,0,0,1,0,4,4,88%,0,0,0,0,0,0,5
Aboubacar Bassinga,1,4,0,0,0,0,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,0,0,0,0,0,0,0
Adama Boiro,8,555,0,0,0,0,2,0,0%,11,1,9%,0,1,6,6,5,4,0,0,1,0,0,0,0,0,0,0,3,1,4,1,85%,0,0,0,0,0,0,17
Adnan Januzaj,7,305,1,1,0,0,8,2,25%,31,8,26%,1,7,8,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,7,80%,12,3,1,2,0,0,1
Adria Altimira,11,778,0,0,0,0,4,1,25%,9,0,0%,0,1,14,11,12,9,0,0,2,0,1,0,0,0,0,0,4,2,7,1,80%,0,1,0,0,0,0,24
Adria Pedrosa,15,1090,1,1,0,0,9,2,22%,46,9,20%,0,5,10,17,12,22,1,0,5,0,0,0,0,0,0,0,4,0,7,7,78%,2,7,1,0,0,0,34
Adrian Arnu,1,3,0,0,0,0,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Adrian Embarba,18,996,1,1,0,0,22,6,27%,76,15,20%,0,10,13,16,8,9,0,0,2,0,0,0,0,0,0,0,1,0,11,12,74%,24,13,4,1,0,0,7
Adrian Nino,1,12,0,0,0,0,2,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Adrian Pica,7,483,0,0,0,0,4,1,25%,2,0,0%,0,1,3,6,8,7,0,0,1,0,0,0,0,0,0,0,6,0,1,1,78%,0,3,0,0,0,0,20
Adrian San Miguel,1,90,0,0,2,3,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,71%,0,0,0,0,0,0,0
Aihen Munoz,11,488,0,0,0,0,3,0,0%,12,1,8%,0,3,5,6,9,4,0,0,3,0,0,0,0,0,0,0,2,0,3,1,79%,0,0,0,0,0,0,24
Aimar Oroz,20,1588,1,0,0,0,24,7,29%,16,1,6%,1,12,40,14,15,12,0,0,3,0,0,0,0,0,0,0,2,0,20,19,84%,2,0,0,2,1,0,2
Aitor Paredes,12,1032,2,0,0,0,4,2,50%,0,0,0%,1,0,3,15,14,7,0,0,4,1,1,0,0,0,0,0,7,1,0,1,84%,0,2,0,0,0,0,66
Aitor Ruibal,16,641,0,2,0,0,9,2,22%,16,5,31%,0,3,8,4,8,8,0,0,3,0,0,0,0,0,0,0,2,0,8,13,85%,2,1,0,0,0,0,12
Albert Sambi Lokonga,13,936,0,2,0,0,7,2,29%,0,0,0%,0,4,13,12,6,10,0,0,2,0,0,0,0,0,0,0,1,0,3,10,91%,0,0,0,0,0,0,18
Alberto Mari,1,7,0,0,0,0,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,0,0,0,0,0,0,0
Alberto Moleiro,19,1430,4,0,0,0,39,17,44%,11,3,27%,1,8,20,18,8,8,0,0,3,0,0,0,0,0,0,0,0,0,37,25,84%,0,1,0,0,0,0,3
Alberto Risco,5,69,0,0,0,0,4,1,25%,4,3,75%,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,74%,0,0,0,0,0,0,0
Alejandro Balde,18,1379,0,2,0,0,8,1,13%,44,8,18%,0,14,30,9,5,5,0,0,1,0,0,0,0,0,0,0,4,0,30,15,90%,0,2,0,0,0,0,9
Alejandro Catena,18,1620,0,1,0,0,9,2,22%,1,0,0%,0,1,5,21,16,16,1,0,5,0,0,0,0,0,0,0,10,0,4,2,80%,0,13,0,0,0,0,109
Alejandro Frances,8,555,0,0,0,0,5,0,0%,11,2,18%,0,1,8,12,9,13,0,0,1,0,0,0,0,0,0,0,2,0,2,1,86%,0,0,0,0,0,0,17
Alejo Veliz,16,853,1,0,0,0,15,5,33%,0,0,0%,0,1,23,13,3,1,0,0,2,0,0,0,0,0,0,0,2,0,1,1,69%,0,0,0,0,0,0,16
Aleksandar Sedlar,7,425,0,0,0,0,1,0,0%,0,0,0%,0,0,4,7,7,9,0,0,1,1,0,0,0,0,0,0,1,0,0,0,79%,0,2,0,0,0,0,12
Alex Baena,18,1466,5,5,0,0,38,10,26%,117,39,33%,1,13,27,24,13,6,0,0,7,0,0,0,1,0,0,0,2,0,10,57,74%,55,23,6,6,0,0,7
Alex Berenguer,19,1114,5,4,0,0,27,11,41%,73,13,18%,0,8,15,14,5,5,0,0,2,0,0,2,1,0,0,0,2,0,12,19,77%,31,18,2,0,0,0,7
Alex Kral,20,1746,0,1,0,0,13,1,8%,25,3,12%,0,13,15,20,17,29,0,0,1,0,0,0,0,0,0,0,9,0,18,9,76%,0,1,0,0,0,0,25
Alex Munoz,14,982,3,0,0,0,7,5,71%,18,8,44%,0,4,8,19,13,21,0,0,1,0,1,0,0,0,0,0,7,0,1,6,84%,0,2,0,0,0,0,44
Alex Padilla,5,321,0,0,12,6,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50%,0,0,0,0,0,0,2
Alex Remiro,20,1800,0,0,49,14,0,0,0%,0,0,0%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75%,0,2,0,0,0,0,9
Alex Sola,17,970,0,1,0,0,14,2,14%,17,2,12%,0,6,24,22,5,12,0,0,4,0,0,0,0,0,0,0,0,0,20,9,68%,0,0,0,0,0,0,10
Alex Suarez,17,1433,0,0,0,0,1,1,100%,0,0,0%,0,0,10,19,5,14,0,0,7,0,1,0,0,0,0,1,16,0,0,2,86%,0,11,0,0,0,0,67
Alexander Sorloth,18,780,8,2,0,0,34,18,53%,2,1,50%,0,5,10,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,8,64%,0,0,0,0,0,0,14
Alfonso Espino,6,397,0,0,0,0,6,2,33%,12,0,0%,0,5,9,9,9,13,0,0,2,0,0,0,0,0,0,0,3,0,3,1,68%,0,0,0,0,0,0,13
Alfonso Gonzalez,12,439,1,1,0,0,21,8,38%,15,5,33%,0,9,12,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,9,8,74%,0,0,0,0,0,0,2
Allan Nyom,9,563,1,1,0,0,8,4,50%,14,4,29%,0,2,6,14,2,6,0,0,3,0,1,0,0,0,0,0,1,0,2,4,81%,0,0,0,0,0,0,11
Alvaro Aguado,10,325,0,0,0,0,9,0,0%,11,4,36%,0,2,7,3,2,2,0,0,1,0,0,0,0,0,0,0,0,1,3,2,78%,2,2,0,1,0,0,5
Alvaro Djalo,12,445,1,0,0,0,14,3,21%,6,2,33%,0,3,7,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,69%,0,0,0,0,0,0,3
Alvaro Fernandez,8,657,0,0,17,12,0,0,0%,0,0,0%,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,60%,0,0,0,0,0,0,8
Alvaro Garcia,18,1113,2,0,0,0,22,4,18%,46,14,30%,1,9,9,9,20,16,0,0,4,0,1,0,0,0,0,0,0,1,5,21,68%,0,0,0,0,0,0,20
Alvaro Garcia Pascual,2,63,0,0,0,0,0,0,0%,1,0,0%,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77%,0,0,0,0,0,0,1
Alvaro Odriozola,2,43,0,0,0,0,0,0,0%,1,1,100%,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71%,0,0,0,0,0,0,1
Alvaro Rodriguez,12,513,2,0,0,0,13,4,31%,2,0,0%,1,2,13,19,3,4,0,0,2,0,0,0,0,0,0,0,0,0,9,3,53%,0,0,0,0,0,0,10
Alvaro Tejero,18,992,1,3,0,0,15,4,27%,89,26,29%,0,10,14,10,8,3,0,0,1,0,0,0,0,0,0,0,1,1,2,26,80%,36,17,3,5,2,1,20
Amath Ndiaye,9,317,0,1,0,0,5,1,20%,4,1,25%,1,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,79%,0,0,0,0,0,0,1
Anastasios Douvikas,18,651,3,1,0,0,17,9,53%,1,1,100%,1,4,26,10,3,4,0,0,2,0,0,0,0,0,0,0,2,0,4,3,72%,0,0,0,0,0,0,5
Ander Barrenetxea,16,690,1,2,0,0,16,5,31%,24,5,21%,0,10,8,19,7,11,0,0,4,0,1,0,0,0,0,0,0,0,10,11,77%,0,0,0,0,0,0,10
Ander Guevara,18,1121,0,1,0,0,7,1,14%,2,0,0%,0,2,13,19,7,20,0,0,1,0,0,0,0,0,0,0,4,0,6,8,78%,0,1,0,0,0,0,24
Ander Herrera,8,272,0,0,0,0,8,4,50%,1,0,0%,0,0,3,6,2,4,0,0,2,0,0,0,1,0,0,0,0,0,2,2,91%,0,0,0,0,0,0,10
Andoni Gorosabel,8,533,0,1,0,0,2,1,50%,13,3,23%,0,4,0,6,4,4,0,0,1,0,0,0,0,0,0,0,1,0,2,3,87%,0,0,0,0,0,0,16
Andre Almeida,17,925,0,0,0,0,9,3,33%,21,8,38%,0,7,8,18,5,15,0,0,1,0,0,0,0,0,0,0,1,0,9,13,88%,8,1,0,0,0,0,6
Andreas Christensen,1,27,0,0,0,0,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88%,0,0,0,0,0,0,1
Andrei Ratiu,18,1553,1,2,0,0,19,5,26%,42,3,7%,2,19,6,14,14,24,0,0,1,0,0,0,0,0,0,0,2,0,35,15,84%,0,1,0,0,0,0,29
Andriy Lunin,3,270,0,1,4,4,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81%,0,1,0,0,0,0,2
Angel Correa,18,498,2,1,0,0,23,8,35%,15,3,20%,2,8,8,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,11,7,77%,2,0,0,0,0,0,3
Ansu Fati,4,127,0,0,0,0,5,3,60%,0,0,0%,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,87%,0,0,0,0,0,0,0
Ante Budimir,20,1476,10,1,0,0,43,17,40%,3,0,0%,1,8,13,23,1,5,0,0,2,0,0,4,4,4,0,0,3,0,7,9,57%,0,0,0,0,0,0,11
Antoine Griezmann,20,1508,7,4,0,0,29,13,45%,106,23,22%,3,20,16,9,5,13,0,0,2,0,0,0,2,1,0,0,0,0,10,31,78%,39,13,1,3,1,1,14
Antonio Blanco,19,1330,0,1,0,0,14,1,7%,13,5,38%,0,0,16,31,25,21,0,0,5,0,0,0,0,0,0,0,5,0,9,9,81%,0,8,0,0,0,0,23
Antonio Lato,5,263,0,0,0,0,0,0,0%,16,9,56%,0,2,1,5,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,75%,0,0,0,0,0,0,9
Antonio Raillo,19,1677,1,0,0,0,15,4,27%,1,0,0%,0,1,7,25,23,8,0,0,2,1,0,0,0,0,0,0,20,0,2,8,88%,0,13,0,0,0,0,87
Antonio Rudiger,20,1703,0,0,0,0,17,2,12%,3,1,33%,0,3,13,10,8,8,0,0,2,0,0,2,0,0,0,0,11,0,3,4,92%,0,1,0,0,0,0,70
Antonio Sanchez,18,845,0,0,0,0,9,1,11%,20,4,20%,0,3,7,14,11,10,0,0,1,0,0,0,0,0,0,0,2,0,6,4,76%,0,0,0,0,0,0,20
Antonio Sivera,18,1583,0,0,49,28,0,0,0%,0,0,0%,0,0,4,2,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,1,55%,0,3,0,0,0,0,17
Antoniu Roca,10,385,0,1,0,0,6,3,50%,13,3,23%,0,2,9,8,2,4,0,0,3,0,0,0,0,0,0,0,0,0,12,6,73%,0,0,0,0,0,0,2
Anuar Mohamed,11,776,2,0,0,0,6,3,50%,6,0,0%,0,2,20,12,9,10,0,0,4,0,0,1,0,0,0,0,4,0,3,3,78%,0,0,0,0,0,0,6
Arda Guler,15,590,1,3,0,0,19,8,42%,15,4,27%,0,2,20,10,3,6,0,0,1,0,0,0,0,0,0,0,0,0,11,17,89%,8,4,0,1,1,0,6
Aridane Hernandez,4,204,0,0,0,0,2,1,50%,0,0,0%,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,86%,0,1,0,0,0,0,16
Aritz Aranbarri,2,177,0,0,0,0,1,0,0%,0,0,0%,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,73%,0,2,0,0,0,0,8
Aritz Elustondo,8,444,0,0,0,0,2,0,0%,2,0,0%,0,2,9,8,3,4,0,0,0,0,0,0,0,0,0,0,5,0,1,3,86%,0,0,0,0,0,0,18
Arnau Martinez,17,1353,2,2,0,0,10,3,30%,36,4,11%,0,10,21,8,7,14,0,0,2,0,1,0,0,0,0,0,4,0,11,14,89%,0,1,0,0,0,0,24
Arnaut Danjuma,17,947,3,0,0,0,21,11,52%,41,9,22%,0,14,7,10,1,5,0,0,3,0,1,0,0,0,0,0,1,0,12,10,83%,14,1,0,0,0,0,1
Asier Villalibre,8,213,1,0,0,0,6,2,33%,1,0,0%,0,0,6,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,69%,0,0,0,0,0,0,4
Assane Diao,10,276,1,2,0,0,7,1,14%,4,2,50%,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,75%,0,0,0,0,0,0,3
Augusto Batalla,15,1350,0,0,49,17,0,0,0%,0,0,0%,0,1,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,4,0,57%,0,1,0,0,0,0,8
Aurelien Tchouameni,15,1274,0,0,0,0,9,1,11%,3,1,33%,0,0,11,13,24,11,0,0,1,0,0,0,0,0,0,0,9,0,5,4,93%,0,0,0,0,0,0,21
Axel Witsel,11,671,0,1,0,0,1,0,0%,0,0,0%,0,1,3,4,6,11,1,0,1,0,0,0,0,0,0,0,7,0,1,2,90%,0,1,0,0,0,0,28
Ayoze Perez,13,749,8,0,0,0,28,9,32%,7,3,43%,0,6,24,11,2,8,0,0,3,0,0,0,0,0,0,0,0,0,13,12,82%,0,0,0,0,0,0,5
Benat Prados,16,887,1,0,0,0,10,5,50%,5,1,20%,0,1,10,19,20,14,0,0,6,0,0,0,0,0,0,0,1,0,2,4,83%,0,0,0,0,0,0,14
Benat Turrientes,12,561,0,0,0,0,5,1,20%,16,4,25%,0,2,12,10,4,3,0,0,3,0,0,0,0,0,0,0,2,0,5,1,90%,6,6,2,0,0,0,5
Benito Ramirez,13,346,0,0,0,0,6,0,0%,24,8,33%,0,2,6,3,1,3,0,0,2,1,0,0,0,0,0,0,3,0,0,8,84%,1,1,1,0,0,0,10
Bertug Yildirim,15,865,1,0,0,0,18,7,39%,4,2,50%,0,5,14,26,1,3,0,0,6,0,0,1,0,0,0,0,2,0,4,6,53%,0,0,0,0,0,0,11
Bojan Miovski,10,638,2,1,0,0,11,4,36%,3,1,33%,0,1,9,10,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,82%,0,0,0,0,0,0,7
Borja Iglesias,20,1078,5,0,0,0,22,13,59%,1,0,0%,0,1,21,22,3,5,0,0,0,0,0,0,0,0,0,0,2,0,9,10,76%,0,0,0,0,0,0,6
Borja Mayoral,6,158,2,0,0,0,5,3,60%,4,0,0%,0,4,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,69%,0,0,0,0,0,0,2
Boyomo,20,1772,1,0,0,0,6,2,33%,0,0,0%,0,0,5,27,20,25,0,0,3,0,0,0,0,0,0,0,17,1,7,0,88%,0,3,0,0,0,0,75
Brahim Diaz,15,683,3,2,0,0,13,8,62%,5,0,0%,0,2,17,8,2,11,0,0,0,0,0,0,0,0,0,0,0,0,16,13,87%,0,0,0,0,0,0,1
Brais Mendez,17,1154,2,1,0,0,20,6,30%,36,6,17%,0,5,33,31,6,11,0,0,4,0,0,0,0,0,0,0,1,0,8,17,83%,15,12,0,4,2,0,14
Brian Olivan,16,999,0,1,0,0,6,1,17%,54,14,26%,0,6,6,13,10,10,2,0,2,0,0,0,0,0,0,0,2,0,1,15,75%,5,5,1,2,0,0,20
Bryan Gil,18,1218,2,3,0,0,24,10,42%,59,9,15%,0,15,30,16,7,15,0,0,2,0,0,0,0,0,0,0,0,0,28,17,90%,10,1,0,0,0,0,6
Bryan Zaragoza,15,1051,1,5,0,0,18,7,39%,47,14,30%,0,8,19,8,1,8,0,0,3,0,0,0,0,0,0,0,0,0,34,21,64%,4,3,0,0,0,0,8
Carl Starfelt,18,1446,1,0,0,0,4,1,25%,0,0,0%,0,1,6,10,22,10,1,0,4,0,0,0,0,0,0,0,14,0,0,4,93%,0,0,0,0,0,0,81
Carles Alena,9,438,0,0,0,0,5,1,20%,6,2,33%,1,1,11,8,0,3,0,0,1,0,0,0,0,0,0,0,1,0,3,3,81%,1,3,1,0,0,0,6
Carles Perez,17,1105,0,0,0,0,26,5,19%,33,10,30%,0,5,6,27,6,16,0,0,1,0,0,0,0,0,0,0,1,0,17,14,72%,2,7,3,1,0,0,13
Carlos Benavidez,8,245,1,1,0,0,3,1,33%,1,0,0%,0,0,2,9,6,3,0,0,1,0,0,0,0,0,0,0,1,0,2,2,75%,0,0,0,0,0,0,3
Carlos Dominguez,9,524,0,0,0,0,3,1,33%,0,0,0%,0,1,4,3,4,6,0,0,0,0,0,0,0,0,0,1,5,0,1,1,85%,0,2,0,0,0,0,29
Carlos Guirao,2,110,0,0,0,0,0,0,0%,0,0,0%,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,80%,0,0,0,0,0,0,2
Carlos Martin,13,676,2,1,0,0,14,6,43%,11,3,27%,0,8,17,16,3,11,0,0,2,0,0,0,0,0,0,0,1,0,4,5,66%,0,0,0,0,0,0,7
Carlos Romero,17,1051,1,1,0,0,12,2,17%,42,10,24%,0,8,4,16,8,20,1,0,4,0,2,0,0,0,0,0,2,0,7,15,73%,8,2,1,0,0,0,30
Carlos Vicente,19,1684,3,3,0,0,19,8,42%,135,40,30%,0,16,33,12,8,12,0,0,1,0,0,0,0,0,0,0,1,0,20,36,73%,35,19,6,1,0,0,11
Cedric Bakambu,11,341,0,1,0,0,12,4,33%,2,0,0%,1,2,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,60%,0,1,0,0,0,0,1
Cenk Ozkacar,4,196,0,0,0,0,1,0,0%,0,0,0%,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,83%,0,0,0,0,0,0,17
Cesar Azpilicueta,6,480,0,0,0,0,3,1,33%,3,1,33%,0,0,5,4,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89%,0,0,0,0,0,0,13
Cesar Tarrega,17,1496,2,0,0,0,12,5,42%,0,0,0%,0,1,3,28,8,16,0,0,3,0,1,0,0,0,0,0,8,1,3,1,80%,0,5,0,0,0,0,87
Chema Andres,1,8,0,0,0,0,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,0,0,0,0,0,1
Chidera Ejuke,10,553,1,0,0,0,11,5,45%,14,3,21%,0,6,7,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,32,14,82%,10,0,0,0,0,0,2
Chimy Avila,15,574,2,0,0,0,20,10,50%,22,7,32%,1,5,17,11,1,4,0,0,4,1,0,0,0,0,0,0,0,0,4,16,77%,0,0,0,0,0,0,5
Chiquinho,7,146,0,0,0,0,4,2,50%,9,2,22%,0,1,7,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,78%,4,3,0,0,0,0,0
Chrisantus Uche,20,1489,1,1,0,0,36,9,25%,14,3,21%,1,8,43,36,5,10,0,0,3,0,0,0,0,0,0,0,1,0,24,16,71%,0,0,0,0,0,0,11
Christian Mosquera,20,1789,0,0,0,0,3,1,33%,0,0,0%,0,1,16,9,20,12,1,0,5,0,2,0,0,0,0,0,14,1,4,0,91%,0,4,0,0,0,0,59
Christian Stuani,15,324,4,1,0,0,15,8,53%,1,0,0%,0,2,0,9,3,4,0,0,2,0,0,0,2,2,0,0,0,0,2,3,67%,0,0,0,0,0,0,4
Chuki,4,88,0,0,0,0,0,0,0%,5,2,40%,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,71%,0,2,2,0,0,0,0
Clement Lenglet,11,923,1,1,0,0,6,2,33%,1,0,0%,0,0,12,15,15,4,0,0,5,0,0,0,0,0,0,0,7,0,1,3,87%,0,7,0,1,1,0,49
Coba Gomes,6,437,1,1,0,0,11,5,45%,9,2,22%,0,4,5,3,3,7,0,0,1,0,0,0,0,0,0,0,0,0,4,4,66%,0,0,0,0,0,0,3
Conor Gallagher,15,902,2,0,0,0,10,2,20%,6,1,17%,0,5,22,14,8,17,0,0,1,0,0,0,0,0,0,0,2,0,7,3,85%,1,0,0,0,0,0,11
Cristian Portu,11,224,0,1,0,0,1,0,0%,11,1,9%,0,1,5,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,3,87%,7,0,0,0,0,0,1
Cyle Larin,17,1058,5,2,0,0,24,11,46%,3,0,0%,0,6,22,18,2,2,0,0,2,0,0,1,1,1,0,0,1,0,2,4,67%,0,0,0,0,0,0,6
Dakonam Djene,18,1442,0,0,0,0,4,0,0%,16,5,31%,0,1,14,20,17,4,0,0,7,0,0,0,0,0,0,0,7,0,4,6,78%,0,3,0,0,0,0,56
Daley Blind,17,1356,0,1,0,0,4,2,50%,21,3,14%,0,6,8,9,17,14,0,0,2,0,0,0,0,0,0,0,8,1,8,7,91%,0,9,0,0,0,0,42
Daley Sinkgraven,2,90,0,0,0,0,0,0,0%,4,0,0%,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,79%,0,0,0,0,0,0,1
Damian Rodriguez,11,622,0,0,0,0,1,0,0%,21,6,29%,0,2,7,9,5,5,0,0,2,0,0,0,0,0,0,0,1,0,0,11,90%,13,6,1,0,0,0,9
Dani Cardenas,5,450,0,0,13,6,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48%,0,2,0,0,0,0,5
Dani Ceballos,11,589,0,0,0,0,1,1,100%,6,2,33%,0,2,17,7,9,13,0,0,2,0,0,0,0,0,0,0,1,0,4,7,94%,2,1,0,0,0,0,3
Dani Gomez,14,531,2,0,0,0,13,6,46%,1,0,0%,0,5,8,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,74%,0,0,0,0,0,0,4
Dani Olmo,12,652,5,0,0,0,24,8,33%,10,2,20%,3,2,8,11,2,7,0,0,0,0,0,0,0,0,0,0,2,0,16,9,80%,1,5,1,0,0,0,6
Dani Parejo,19,1331,3,1,0,0,8,4,50%,15,6,40%,0,2,19,12,10,25,0,0,5,0,0,0,2,1,0,0,3,0,6,10,89%,8,6,0,0,0,0,18
Dani Rodriguez,20,1070,3,4,0,0,14,5,36%,66,19,29%,0,5,22,22,4,16,0,0,2,0,0,0,0,0,0,0,1,0,8,13,76%,32,12,2,0,0,0,10
Dani Vivian,17,1405,3,0,0,0,10,4,40%,4,0,0%,1,2,11,20,22,17,0,0,1,0,0,0,0,0,0,0,5,0,4,2,86%,0,5,0,0,0,0,74
Daniel Carvajal,8,610,1,0,0,0,3,1,33%,14,1,7%,0,2,6,3,9,8,1,0,1,0,0,0,0,0,0,0,3,0,2,5,88%,0,0,0,0,0,0,14
Daniel Luna,2,20,0,0,0,0,0,0,0%,3,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78%,1,0,0,0,0,0,0
Daniel Raba,12,600,1,4,0,0,12,4,33%,32,7,22%,0,5,22,13,7,9,0,0,1,0,0,1,2,1,0,0,1,0,15,17,74%,12,12,3,1,0,0,4
Daniel Yanez,1,2,0,0,0,0,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Dario Benavides,1,5,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0
Dario Essugo,13,1030,1,0,0,0,13,3,23%,1,0,0%,0,3,20,20,23,23,0,0,5,0,0,0,0,0,0,0,7,0,10,7,88%,0,1,0,0,0,0,21
Darko Brasanac,17,1001,1,2,0,0,7,2,29%,4,1,25%,1,3,5,26,7,6,0,0,1,0,0,0,0,0,0,0,7,0,1,6,78%,0,0,0,0,0,0,29
Darwin Machis,7,304,0,0,0,0,7,0,0%,23,6,26%,0,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,64%,8,3,2,1,0,0,6
David Alaba,1,15,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93%,0,0,0,0,0,0,0
David Arguelles,1,7,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60%,0,0,0,0,0,0,0
David Lopez,19,1657,1,0,0,0,8,1,13%,1,0,0%,0,0,10,5,12,14,1,0,3,0,0,0,0,0,0,0,9,1,6,2,92%,0,4,0,0,0,0,73
David Otorbi,1,14,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,0,0,0,0,0,0,0
